season,scope,team,opp_att,opp_cmp,opp_cmp_pct,opp_yds_per_att,pass_yds_allowed,pass_td_allowed,def_int,opp_rating,pass_first_downs_allowed,pass_first_down_pct_allowed,pass_20_plus_allowed,pass_40_plus_allowed,source
2025,full_season,49ers,584,398,68.2,7,4110,29,6,100.5,199,34.1,45,5,user_pdf_nfl
2025,full_season,Bears,533,355,66.6,7.6,4067,32,23,91.4,190,35.6,61,9,user_pdf_nfl
2025,full_season,Bengals,534,348,65.2,7.8,4175,33,13,99.4,201,37.6,60,5,user_pdf_nfl
2025,full_season,Bills,464,277,59.7,6.2,2894,19,13,79.8,144,31,38,1,user_pdf_nfl
2025,full_season,Broncos,593,343,57.8,6.1,3606,18,10,78.7,171,28.8,40,10,user_pdf_nfl
2025,full_season,Browns,487,308,63.2,6.6,3220,25,11,90,161,33.1,43,6,user_pdf_nfl
2025,full_season,Buccaneers,568,379,66.7,7.6,4332,30,13,97.5,206,36.3,55,10,user_pdf_nfl
2025,full_season,Cardinals,572,375,65.6,7.2,4128,31,10,97.6,215,37.6,52,6,user_pdf_nfl
2025,full_season,Chargers,505,307,60.8,6.6,3314,16,19,75,151,29.9,37,7,user_pdf_nfl
2025,full_season,Chiefs,509,340,66.8,6.8,3487,18,10,89.9,158,31,45,7,user_pdf_nfl
2025,full_season,Colts,627,397,63.3,7.1,4462,24,14,88,216,34.4,57,5,user_pdf_nfl
2025,full_season,Commanders,540,350,64.8,8.1,4371,33,8,104,216,40,53,13,user_pdf_nfl
2025,full_season,Cowboys,556,381,68.5,8.1,4521,35,6,109.6,208,37.4,58,14,user_pdf_nfl
2025,full_season,Dolphins,515,371,72,7.6,3920,29,9,105.3,186,36.1,51,3,user_pdf_nfl
2025,full_season,Eagles,544,309,56.8,6.4,3476,14,12,75.4,157,28.9,46,13,user_pdf_nfl
2025,full_season,Falcons,529,331,62.6,7.1,3773,27,16,89.4,179,33.8,49,7,user_pdf_nfl
2025,full_season,Giants,550,358,65.1,7.1,3908,25,9,94.3,195,35.4,49,3,user_pdf_nfl
2025,full_season,Jaguars,635,396,62.4,6.2,3933,25,22,78.6,197,31,46,6,user_pdf_nfl
2025,full_season,Jets,515,336,65.2,7.5,3849,36,0,110.9,205,39.8,57,6,user_pdf_nfl
2025,full_season,Lions,555,342,61.6,7.3,4027,31,13,92.5,193,34.8,58,8,user_pdf_nfl
2025,full_season,Packers,549,360,65.6,6.4,3516,24,7,92.7,178,32.4,41,6,user_pdf_nfl
2025,full_season,Panthers,507,336,66.3,7.2,3657,20,15,88.2,180,35.5,42,9,user_pdf_nfl
2025,full_season,Patriots,527,350,66.4,6.7,3512,25,10,93.1,171,32.4,42,3,user_pdf_nfl
2025,full_season,Raiders,524,359,68.5,7,3644,23,8,96.4,175,33.4,37,9,user_pdf_nfl
2025,full_season,Rams,589,377,64,6.8,3988,26,16,87,192,32.6,53,5,user_pdf_nfl
2025,full_season,Ravens,625,399,63.8,7,4403,23,11,89.6,198,31.7,64,9,user_pdf_nfl
2025,full_season,Saints,491,312,63.5,6.8,3336,25,10,91.8,162,33,44,7,user_pdf_nfl
2025,full_season,Seahawks,600,375,62.5,6,3619,20,18,77.9,176,29.3,44,7,user_pdf_nfl
2025,full_season,Steelers,613,396,64.6,7.2,4437,30,15,92.2,202,33,53,7,user_pdf_nfl
2025,full_season,Texans,538,319,59.3,6.5,3486,20,19,76.2,162,30.1,47,8,user_pdf_nfl
2025,full_season,Titans,514,354,68.9,8.2,4221,30,6,108.3,195,37.9,58,9,user_pdf_nfl
2025,full_season,Vikings,447,279,62.4,6.8,3021,15,8,86,132,29.5,32,5,user_pdf_nfl
